State,State_abbrev,Year,Beer (Per capita consumption),Wine (Per capita consumption),Spirits (Per capita consumption),All beverages (Per capita consumption),id
Alabama,AL,2016,1.09,0.26,0.65,2.01,1
Alabama,AL,2015,1.11,0.26,0.64,2.01,1
Alabama,AL,2014,1.13,0.25,0.62,2,1
Alabama,AL,2013,1.14,0.25,0.6,1.99,1
Alabama,AL,2012,1.16,0.24,0.6,2,1
Alabama,AL,2011,1.16,0.24,0.59,1.98,1
Alabama,AL,2010,1.17,0.23,0.58,1.98,1
Alabama,AL,2009,1.19,0.22,0.57,1.98,1
Alabama,AL,2008,1.22,0.22,0.57,2.01,1
Alabama,AL,2007,1.23,0.22,0.55,2,1
Alabama,AL,2006,1.21,0.21,0.54,1.95,1
Alabama,AL,2005,1.18,0.2,0.53,1.91,1
Alabama,AL,2004,1.19,0.2,0.52,1.91,1
Alabama,AL,2003,1.19,0.19,0.52,1.9,1
Alabama,AL,2002,1.18,0.21,0.54,1.92,1
Alabama,AL,2001,1.16,0.17,0.53,1.86,1
Alabama,AL,2000,1.19,0.18,0.51,1.88,1
Alabama,AL,1999,1.18,0.17,0.51,1.87,1
Alabama,AL,1998,1.16,0.17,0.51,1.85,1
Alabama,AL,1997,1.14,0.16,0.52,1.82,1
Alabama,AL,1996,1.17,0.18,0.53,1.88,1
Alabama,AL,1995,1.14,0.16,0.53,1.82,1
Alabama,AL,1994,1.16,0.17,0.54,1.87,1
Alabama,AL,1993,1.14,0.17,0.56,1.86,1
Alabama,AL,1992,1.02,0.19,0.59,1.79,1
Alabama,AL,1991,1,0.17,0.59,1.76,1
Alabama,AL,1990,1.12,0.18,0.61,1.92,1
Alabama,AL,1989,1.12,0.17,0.61,1.9,1
Alabama,AL,1988,1.12,0.19,0.62,1.92,1
Alabama,AL,1987,1.11,0.18,0.62,1.91,1
Alabama,AL,1986,1.1,0.18,0.65,1.92,1
Alabama,AL,1985,1.07,0.17,0.67,1.92,1
Alabama,AL,1984,1.03,0.19,0.69,1.91,1
Alabama,AL,1983,1.01,0.17,0.72,1.9,1
Alabama,AL,1982,1,0.18,0.72,1.9,1
Alabama,AL,1981,1,0.19,0.73,1.91,1
Alabama,AL,1980,0.95,0.16,0.74,1.86,1
Alabama,AL,1979,0.96,0.12,0.82,1.9,1
Alabama,AL,1978,0.95,0.12,0.85,1.92,1
Alabama,AL,1977,0.97,0.12,0.82,1.92,1
Alaska,AK,2016,1.15,0.56,1.23,2.94,2
Alaska,AK,2015,1.11,0.53,1.2,2.84,2
Alaska,AK,2014,1.11,0.52,1.16,2.79,2
Alaska,AK,2013,1.07,0.52,1.17,2.75,2
Alaska,AK,2012,1.17,0.53,1.13,2.83,2
Alaska,AK,2011,1.15,0.54,1.17,2.86,2
Alaska,AK,2010,1.23,0.55,1.25,3.03,2
Alaska,AK,2009,1.32,0.54,1.16,3.02,2
Alaska,AK,2008,1.2,0.49,1.09,2.78,2
Alaska,AK,2007,1.13,0.44,0.96,2.53,2
Alaska,AK,2006,1.25,0.47,1.03,2.75,2
Alaska,AK,2005,1.23,0.43,0.98,2.64,2
Alaska,AK,2004,1.31,0.44,0.95,2.71,2
Alaska,AK,2003,1.27,0.37,0.79,2.43,2
Alaska,AK,2002,1.35,0.45,1.19,2.99,2
Alaska,AK,2001,1.32,0.38,0.96,2.67,2
Alaska,AK,2000,1.37,0.37,0.94,2.68,2
Alaska,AK,1999,1.4,0.38,0.95,2.74,2
Alaska,AK,1998,1.39,0.37,0.95,2.71,2
Alaska,AK,1997,1.31,0.36,0.88,2.56,2
Alaska,AK,1996,1.31,0.38,0.94,2.63,2
Alaska,AK,1995,1.45,0.39,1.02,2.86,2
Alaska,AK,1994,1.53,0.4,1.1,3.03,2
Alaska,AK,1993,1.31,0.32,0.92,2.55,2
Alaska,AK,1992,1.53,0.41,1.08,3.02,2
Alaska,AK,1991,1.54,0.43,1.14,3.11,2
Alaska,AK,1990,1.62,0.46,1.25,3.33,2
Alaska,AK,1989,1.52,0.44,1.19,3.15,2
Alaska,AK,1988,1.54,0.47,1.19,3.21,2
Alaska,AK,1987,1.6,0.52,1.26,3.38,2
Alaska,AK,1986,1.65,0.55,1.25,3.45,2
Alaska,AK,1985,1.63,0.56,1.48,3.68,2
Alaska,AK,1984,1.67,0.56,1.5,3.72,2
Alaska,AK,1983,1.71,0.59,1.65,3.95,2
Alaska,AK,1982,1.69,0.54,1.68,3.92,2
Alaska,AK,1981,1.68,0.56,1.79,4.02,2
Alaska,AK,1980,1.54,0.5,1.68,3.72,2
Alaska,AK,1979,1.48,0.46,1.63,3.58,2
Alaska,AK,1978,1.39,0.45,1.67,3.51,2
Alaska,AK,1977,1.19,0.42,1.69,3.3,2
Arizona,AZ,2016,1.14,0.4,0.78,2.31,4
Arizona,AZ,2015,1.16,0.4,0.78,2.34,4
Arizona,AZ,2014,1.18,0.4,0.79,2.37,4
Arizona,AZ,2013,1.13,0.42,0.81,2.36,4
Arizona,AZ,2012,1.14,0.45,0.84,2.43,4
Arizona,AZ,2011,1.15,0.44,0.8,2.39,4
Arizona,AZ,2010,1.23,0.41,0.76,2.39,4
Arizona,AZ,2009,1.22,0.39,0.77,2.38,4
Arizona,AZ,2008,1.3,0.41,0.77,2.48,4
Arizona,AZ,2007,1.39,0.34,0.78,2.51,4
Arizona,AZ,2006,1.34,0.38,0.79,2.51,4
Arizona,AZ,2005,1.35,0.4,0.76,2.51,4
Arizona,AZ,2004,1.4,0.34,0.71,2.44,4
Arizona,AZ,2003,1.41,0.37,0.71,2.49,4
Arizona,AZ,2002,1.46,0.33,0.69,2.48,4
Arizona,AZ,2001,1.47,0.33,0.7,2.5,4
Arizona,AZ,2000,1.48,0.31,0.71,2.5,4
Arizona,AZ,1999,1.47,0.34,0.69,2.51,4
Arizona,AZ,1998,1.44,0.33,0.68,2.45,4
Arizona,AZ,1997,1.45,0.31,0.68,2.44,4
Arizona,AZ,1996,1.52,0.33,0.73,2.58,4
Arizona,AZ,1995,1.47,0.29,0.68,2.44,4
Arizona,AZ,1994,1.52,0.29,0.7,2.5,4
